Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia e Gestão Industrial (Preparatórios)
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Comunicação e Multimédia
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Civil
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Informática
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Mecânica
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Tecnologias de Informação e Comunicação
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Biomédica
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Biologia
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Biologia e Geologia
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Bioquímica
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Ciências do Ambiente
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Bioengenharia
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Ciência Alimentar
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Ciências do Desporto
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Genética e Biotecnologia
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Reabilitação Psicomotora
Universidade da Madeira,Ciclo Básico de Medicina
Universidade da Madeira,Biologia
Universidade da Madeira,Bioquímica
Universidade da Madeira,Ciências da Educação
Universidade da Madeira,Design
Universidade da Madeira,Economia
Universidade da Madeira,Engenharia Informática
Universidade da Madeira,Gestão
Universidade da Madeira,Línguas e Relações Empresariais
Universidade da Madeira,Psicologia
Universidade da Madeira,"Comunicação, Cultura e Organizações"
Universidade da Madeira,Educação Física e Desporto
Universidade da Madeira,Artes Visuais
Universidade da Madeira,Educação Básica
Universidade da Madeira,Engenharia Civil (ensino em inglês)
Universidade da Madeira,Engenharia Eletrónica e Telecomunicações  (ensino em inglês)
Universidade da Madeira,Matemática (ensino em inglês)
Universidade da Madeira,Estudos de Cultura
Universidade da Madeira - Escola Superior de Saúde,Enfermagem
Universidade de Lisboa,Ciências da Saúde
Universidade de Lisboa - Faculdade de Arquitetura,Design
Universidade de Lisboa - Faculdade de Arquitetura,Design de Moda
Universidade de Lisboa - Faculdade de Arquitetura,Arquitetura
Universidade de Lisboa - Faculdade de Arquitetura,"Arquitetura, na área de especialização em Urbanismo"
Universidade de Lisboa - Faculdade de Arquitetura,"Arquitectura, área de especializ. em Interiores e Reabilitação do Edificado"
Universidade de Lisboa - Faculdade de Belas-Artes,Desenho
Universidade de Lisboa - Faculdade de Belas-Artes,Design de Comunicação
Universidade de Lisboa - Faculdade de Belas-Artes,Design de Equipamento
Universidade de Lisboa - Faculdade de Belas-Artes,Escultura
Universidade de Lisboa - Faculdade de Belas-Artes,Pintura
Universidade de Lisboa - Faculdade de Belas-Artes,Arte Multimédia
Universidade de Lisboa - Faculdade de Belas-Artes,Ciências da Arte e do Património
Universidade de Lisboa - Faculdade de Ciências,Biologia
Universidade de Lisboa - Faculdade de Ciências,Bioquímica
Universidade de Lisboa - Faculdade de Ciências,Engenharia Informática
Universidade de Lisboa - Faculdade de Ciências,Física
Universidade de Lisboa - Faculdade de Ciências,Geologia
Universidade de Lisboa - Faculdade de Ciências,Matemática
Universidade de Lisboa - Faculdade de Ciências,"Meteorologia, Oceanografia e Geofísica"
Universidade de Lisboa - Faculdade de Ciências,Química
Universidade de Lisboa - Faculdade de Ciências,Química Tecnológica
Universidade de Lisboa - Faculdade de Ciências,Engenharia Física
Universidade de Lisboa - Faculdade de Ciências,Estatística Aplicada
Universidade de Lisboa - Faculdade de Ciências,Matemática Aplicada
Universidade de Lisboa - Faculdade de Ciências,Engenharia da Energia e do Ambiente
Universidade de Lisboa - Faculdade de Ciências,Engenharia Biomédica e Biofísica
Universidade de Lisboa - Faculdade de Ciências,Tecnologias de Informação
Universidade de Lisboa - Faculdade de Ciências,Engenharia Geoespacial
Universidade de Lisboa - Faculdade de Direito,Direito
Universidade de Lisboa - Faculdade de Farmácia,Ciências Farmacêuticas
Universidade de Lisboa - Faculdade de Letras,"Estudos Artísticos, variante de Artes do Espetáculo"
Universidade de Lisboa - Faculdade de Letras,Artes e Humanidades
Universidade de Lisboa - Faculdade de Letras,Estudos Gerais
Universidade de Lisboa - Faculdade de Letras,Arqueologia
Universidade de Lisboa - Faculdade de Letras,Ciências da Linguagem
Universidade de Lisboa - Faculdade de Letras,Estudos Africanos
Universidade de Lisboa - Faculdade de Letras,Estudos Clássicos
Universidade de Lisboa - Faculdade de Letras,Estudos Europeus
Universidade de Lisboa - Faculdade de Letras,Filosofia
Universidade de Lisboa - Faculdade de Letras,História
Universidade de Lisboa - Faculdade de Letras,História da Arte
Universidade de Lisboa - Faculdade de Letras,"Línguas, Literaturas e Culturas"
Universidade de Lisboa - Faculdade de Letras,Tradução
Universidade de Lisboa - Faculdade de Letras,Estudos Asiáticos
Universidade de Lisboa - Faculdade de Letras,Estudos Portugueses
Universidade de Lisboa - Faculdade de Letras,Estudos Comparatistas
Universidade de Lisboa - Faculdade de Letras,Estudos de Cultura e Comunicação
Universidade de Lisboa - Faculdade de Medicina,Medicina
Universidade de Lisboa - Faculdade de Medicina Dentária,Medicina Dentária
Universidade de Lisboa - Faculdade de Medicina Dentária,Higiene Oral
Universidade de Lisboa - Faculdade de Medicina Dentária,Prótese Dentária
Universidade de Lisboa - Faculdade de Medicina Veterinária,Medicina Veterinária
Universidade de Lisboa - Faculdade de Motricidade Humana,Dança
Universidade de Lisboa - Faculdade de Motricidade Humana,Gestão do Desporto
Universidade de Lisboa - Faculdade de Motricidade Humana,Ciências do Desporto
Universidade de Lisboa - Faculdade de Motricidade Humana,Ergonomia
Universidade de Lisboa - Faculdade de Motricidade Humana,Reabilitação Psicomotora
Universidade de Lisboa - Faculdade de Psicologia,Psicologia
Universidade de Lisboa - Instituto de Educação,Educação e Formação
